degree,specialization,academic_score,marks_10th,marks_12th,skills,core_subjects,projects,internships,experience_years,role
M.Sc,Civil Engineering,7.4,88.0,90.6,"Estimation, Project Management, Site Supervision","STAAD Pro:C,Geotechnical Engineering:B+,Structural Analysis:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",Backend Developer:3 months,0,UX Designer
M.Tech,Data Science,7.43,97.6,85.7,"Tableau, Python, R, Power BI","Statistics:A-,Machine Learning:A,Linear Algebra:A","Disease Detection: Deep Learning, PyTorch, CNN",,3,Data Analyst
M.Sc,Human Resources,8.68,72.1,95.6,"Recruiting, Communication, Employee Relations","Labor Laws:B,Performance Management:B+,HR Management:C,Training and Development:A","Agile Product Launch: Jira, Scrum",Marketing Intern:4 months; Product Management:4 months,8,Product Manager
MCA,Computer Science,9.31,72.4,86.8,"C++, Git, Java","Computer Networks:A,Data Structures and Algorithms:B,Web Development:C,DBMS:B+","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:4 months,4,DevOps Engineer
MCA,Information Technology,9.38,70.7,78.4,"Linux, Network Administration, AWS, SQL","Cyber Security:B,Cloud Computing:B+,Computer Networks:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",,9,Software Engineer
Diploma,Civil Engineering,8.65,79.9,94.0,"Site Supervision, Estimation, Project Management","STAAD Pro:A-,AutoCAD:A-,Construction Management:A-,Structural Analysis:B","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",,4,Civil Engineer
M.Tech,Computer Science,7.65,76.7,72.9,"Python, C++, Git, Java","Compiler Design:B+,Web Development:A+,Computer Networks:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:6 months; DevOps Engineer:2 months,7,Full Stack Developer
MCA,Computer Science,9.71,88.2,73.9,"C++, Python, System Design, Java, Git","Compiler Design:A,Computer Networks:C,Operating Systems:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Software Developer:3 months; DevOps Engineer:3 months,3,Full Stack Developer
B.Sc,Human Resources,9.25,96.3,97.8,"Communication, Recruiting, Employee Relations","Labor Laws:B,Performance Management:B+,HR Management:C,Training and Development:B+","Task Management App: React, Redux, Firebase",Software Developer:6 months; DevOps Engineer:1 months,2,Mechanical Engineer
M.Sc,Data Science,9.54,89.2,96.7,"Python, R, Power BI, SQL, Tableau","Linear Algebra:A,Big Data Analytics:A-,Data Mining:A,Statistics:A-","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:6 months,6,Research Analyst
MCA,Artificial Intelligence,8.31,76.0,83.5,"TensorFlow, Python, PyTorch, Data Analysis","NLP:C,Linear Algebra:A,Neural Networks:A,Statistics:B+,Deep Learning:A+","Disease Detection: Deep Learning, PyTorch, CNN",,5,Machine Learning Engineer
MA,Information Technology,9.65,88.4,95.1,"Linux, Network Administration, SQL","Web Technologies:B,Computer Networks:A-,Cyber Security:B+,Database Management Systems:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",,5,Economist
BBA,Marketing,7.52,76.8,77.7,"Social Media, SEO, Content Strategy, Google Analytics","Consumer Behavior:A,Digital Marketing:B+,Brand Management:B,Market Research:C,Marketing Management:A","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",Backend Developer:6 months; Software Developer:6 months,10,Marketing Specialist
MBA,Finance,7.6,96.6,77.4,"Tally, Financial Modeling, Excel, GST","Accounting:A,Risk Management:B,Corporate Finance:B","Risk Analysis Report: Financial Modeling, Valuation; Portfolio Optimization: Python, Excel, Statistics",Tax Consultant:1 months; Tax Consultant:5 months,0,Financial Analyst
BCA,Data Science,9.35,93.0,87.6,"Python, Power BI, R","Statistics:A,Big Data Analytics:C,Linear Algebra:A-,Data Mining:C","Stock Price Predictor: Python, TensorFlow, LSTM; NLP Chatbot: Python, NLTK, Flask",,4,AI Engineer
BA,Civil Engineering,7.61,89.4,92.7,"Project Management, Site Supervision, Estimation","Structural Analysis:A-,Construction Management:A,Geotechnical Engineering:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:6 months,3,HR Manager
B.Tech,Information Technology,7.21,82.8,88.8,"AWS, Network Administration, SQL","Cyber Security:B+,Computer Networks:C,Database Management Systems:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:1 months; DevOps Engineer:3 months,4,Full Stack Developer
BBA,Marketing,8.98,70.4,70.6,"Google Analytics, Content Strategy, Social Media, SEO","Market Research:C,Consumer Behavior:A-,Brand Management:A,Digital Marketing:B,Marketing Management:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,3,Marketing Specialist
MA,Mechanical Engineering,8.0,82.8,94.4,"MATLAB, SolidWorks, Manufacturing","Solid Mechanics:C,Fluid Mechanics:B,Ansys:A","Agile Product Launch: Jira, Scrum",,3,Business Analyst
M.Sc,Data Science,8.25,97.2,85.1,"Tableau, SQL, R, Power BI","Statistics:A,Big Data Analytics:C,Linear Algebra:A-,Machine Learning:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",DevOps Engineer:5 months; Software Developer:5 months,9,Teaching Professional
BCA,Data Science,7.32,89.5,89.7,"Tableau, R, Power BI","Linear Algebra:A,Statistics:B,Big Data Analytics:B+","Disease Detection: Deep Learning, PyTorch, CNN",,7,Machine Learning Engineer
M.Tech,Data Science,7.76,96.3,78.0,"Tableau, Power BI, Python, R, SQL","Linear Algebra:B,Big Data Analytics:C,Machine Learning:A-,Statistics:B+,Data Mining:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",,8,Software Engineer
BA,Finance,9.14,72.0,90.1,"Tally, Financial Modeling, GST, Excel","Risk Management:B+,Corporate Finance:A-,Accounting:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",,9,HR Manager
MA,Economics,8.4,84.2,78.2,"Economic Research, Stata, Data Analysis","Statistics:A+,Macroeconomics:A-,Microeconomics:A,Public Finance:A-","Task Management App: React, Redux, Firebase",Frontend Developer:2 months; Backend Developer:6 months,10,Economist
BA,Human Resources,8.97,73.9,70.7,"Employee Relations, Recruiting, Communication","HR Management:A-,Performance Management:A-,Labor Laws:A-,Training and Development:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",Software Developer:5 months; Frontend Developer:6 months,5,Mechanical Engineer
B.Tech,Data Science,9.75,71.2,77.1,"Tableau, Python, SQL, Power BI","Linear Algebra:A-,Statistics:A-,Data Mining:B+","Customer Segmentation: Python, Scikit-learn, K-means",Data Scientist:1 months; Machine Learning Engineer:2 months,8,AI Engineer
MA,Artificial Intelligence,7.3,86.2,75.3,"Python, Data Analysis, PyTorch, TensorFlow","Deep Learning:C,Neural Networks:A-,Machine Learning:A-,Linear Algebra:B+,Statistics:A-","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",Frontend Developer:5 months,6,Teaching Professional
MCA,Information Technology,9.45,81.0,78.1,"AWS, Network Administration, Linux, SQL","Computer Networks:B,Database Management Systems:A-,Cloud Computing:A-,Web Technologies:A,Cyber Security:B","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,3,Backend Developer
M.Com,Finance,8.73,85.6,92.9,"Financial Modeling, GST, Tally, Excel","Investment Analysis:B,Financial Management:A+,Accounting:A-,Corporate Finance:A-","Portfolio Optimization: Python, Excel, Statistics; Risk Analysis Report: Financial Modeling, Valuation",,0,Accountant
M.Tech,Civil Engineering,9.56,97.0,93.0,"Estimation, Project Management, Site Supervision","AutoCAD:A-,Structural Analysis:A,STAAD Pro:A,Geotechnical Engineering:A,Construction Management:B+","Bridge Design: AutoCAD, Structural Analysis",Quantity Surveyor:6 months,0,Civil Engineer
MBA,Finance,9.33,76.1,89.1,"Financial Modeling, GST, Excel, Tally","Risk Management:B,Investment Analysis:B+,Financial Management:A-","Portfolio Optimization: Python, Excel, Statistics",Tax Consultant:1 months; Financial Analyst:2 months,3,Financial Analyst
MCA,Data Science,8.82,93.4,80.8,"Tableau, R, SQL, Python","Statistics:A,Machine Learning:A-,Big Data Analytics:B+,Linear Algebra:A","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,2,DevOps Engineer
M.Com,Finance,9.66,72.3,71.1,"Financial Modeling, GST, Tally, Excel","Investment Analysis:B+,Risk Management:A,Accounting:C","Risk Analysis Report: Financial Modeling, Valuation",,6,Accountant
B.Tech,Civil Engineering,7.75,71.1,93.5,"Project Management, Site Supervision, Estimation","Geotechnical Engineering:A-,STAAD Pro:A-,Structural Analysis:A,Construction Management:A","Bridge Design: AutoCAD, Structural Analysis",,2,Civil Engineer
B.Tech,Computer Science,7.36,83.4,81.4,"C++, Git, Python, System Design","Compiler Design:A,Computer Networks:A-,DBMS:B+,Operating Systems:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:1 months; Software Developer:1 months,9,Frontend Developer
M.Sc,Computer Science,9.49,75.3,78.7,"Git, C++, System Design, Python, Java","Computer Networks:B+,Web Development:B+,DBMS:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Software Developer:2 months,4,Economist
BA,Marketing,9.34,86.1,84.1,"Google Analytics, Social Media, SEO, Content Strategy","Marketing Management:A,Digital Marketing:A-,Consumer Behavior:C,Market Research:C,Brand Management:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",Software Developer:3 months,0,Research Analyst
BCA,Information Technology,7.39,80.5,92.9,"AWS, SQL, Network Administration","Cloud Computing:A,Web Technologies:B+,Computer Networks:B+,Database Management Systems:C,Cyber Security:B","E-commerce API: Node.js, Express, MongoDB",,5,Software Engineer
M.Tech,Civil Engineering,9.01,82.6,95.8,"Project Management, Estimation, Site Supervision","Structural Analysis:B,Construction Management:C,AutoCAD:B","Smart City Drainage: STAAD Pro, Surveying",Site Engineer:2 months,5,Construction Manager
BA,Marketing,7.6,75.1,72.5,"Content Strategy, SEO, Google Analytics","Consumer Behavior:C,Digital Marketing:A-,Market Research:B+,Marketing Management:A-,Brand Management:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",,4,Marketing Specialist
M.Tech,Artificial Intelligence,9.02,94.3,88.2,"TensorFlow, PyTorch, Python, Data Analysis","NLP:C,Neural Networks:A-,Statistics:B+,Machine Learning:A-,Linear Algebra:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",Frontend Developer:3 months; Frontend Developer:4 months,0,Software Engineer
BBA,Marketing,8.38,84.5,78.1,"Google Analytics, Social Media, SEO, Content Strategy","Market Research:C,Marketing Management:A+,Digital Marketing:A-,Brand Management:A-,Consumer Behavior:C","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",,5,Marketing Specialist
B.Tech,Civil Engineering,9.39,86.4,95.7,"Estimation, Site Supervision, Project Management","STAAD Pro:A+,Geotechnical Engineering:A-,Construction Management:B+","Bridge Design: AutoCAD, Structural Analysis; Smart City Drainage: STAAD Pro, Surveying",Site Engineer:3 months,1,Structural Engineer
BA,Marketing,9.4,91.7,91.5,"Social Media, Content Strategy, Google Analytics, SEO","Consumer Behavior:A,Marketing Management:A,Brand Management:A-,Digital Marketing:B","E-commerce API: Node.js, Express, MongoDB",,3,Marketing Specialist
B.Sc,Computer Science,7.33,86.9,86.3,"System Design, Python, Git, Java, C++","Operating Systems:B+,DBMS:B+,Computer Networks:C,Data Structures and Algorithms:A-,Compiler Design:B","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",Frontend Developer:2 months,9,Mechanical Engineer
BA,Information Technology,7.42,77.8,92.9,"SQL, Network Administration, AWS, Linux","Database Management Systems:A-,Computer Networks:A,Cloud Computing:B+,Web Technologies:B+","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",,5,Teaching Professional
B.Sc,Mechanical Engineering,7.53,82.1,96.4,"SolidWorks, Manufacturing, MATLAB","CAD/CAM:A-,Ansys:C,Fluid Mechanics:C,Solid Mechanics:B,Thermodynamics:B","Task Management App: React, Redux, Firebase",,2,Teaching Professional
M.Sc,Artificial Intelligence,8.22,70.3,95.3,"PyTorch, TensorFlow, Data Analysis","NLP:B,Deep Learning:B+,Machine Learning:B,Neural Networks:B,Linear Algebra:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes",,5,Economist
M.Tech,Artificial Intelligence,7.47,74.0,91.7,"Python, TensorFlow, Data Analysis","Statistics:A-,Linear Algebra:A-,Machine Learning:B,NLP:C","Disease Detection: Deep Learning, PyTorch, CNN; Stock Price Predictor: Python, TensorFlow, LSTM",,5,Data Analyst
B.Sc,Artificial Intelligence,8.38,89.7,83.0,"Python, TensorFlow, Data Analysis","NLP:C,Statistics:A,Linear Algebra:C,Machine Learning:B+,Deep Learning:C","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:4 months; DevOps Engineer:6 months,3,UX Designer
BA,Human Resources,8.27,81.3,88.4,"Communication, Recruiting, Employee Relations","HR Management:A-,Performance Management:B,Training and Development:A,Labor Laws:C","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:4 months,5,Teaching Professional
BCA,Computer Science,8.98,89.6,76.0,"Java, Git, C++","Computer Networks:C,Operating Systems:A-,Data Structures and Algorithms:A+,Compiler Design:A,DBMS:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",,10,Software Engineer
MCA,Computer Science,7.0,83.1,76.8,"Git, Java, C++","Compiler Design:A,Computer Networks:A-,Web Development:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",DevOps Engineer:2 months,3,Software Engineer
MBA,Marketing,9.03,73.1,74.2,"Google Analytics, SEO, Social Media, Content Strategy","Digital Marketing:B,Market Research:C,Brand Management:A-,Consumer Behavior:B+,Marketing Management:A+","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",,0,Marketing Specialist
MCA,Information Technology,8.35,86.5,88.6,"SQL, Network Administration, Linux","Cloud Computing:A,Cyber Security:B,Computer Networks:A-,Database Management Systems:A-,Web Technologies:C","E-commerce API: Node.js, Express, MongoDB",,7,Software Engineer
M.Tech,Computer Science,9.21,90.9,96.6,"Python, Git, Java, C++","Computer Networks:C,Web Development:B+,DBMS:C,Data Structures and Algorithms:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",,6,DevOps Engineer
MCA,Computer Science,9.66,95.9,94.3,"Python, Git, C++, System Design, Java","Operating Systems:A-,Computer Networks:B,DBMS:A,Web Development:A-","NLP Chatbot: Python, NLTK, Flask",,4,Data Scientist
M.Com,Finance,8.23,85.5,71.8,"GST, Financial Modeling, Tally, Excel","Financial Management:A,Investment Analysis:B+,Corporate Finance:B+","Risk Analysis Report: Financial Modeling, Valuation",Audit Assistant:5 months; Financial Analyst:6 months,3,Financial Analyst
MCA,Data Science,7.5,70.7,78.2,"Python, R, Power BI","Data Mining:B+,Big Data Analytics:B+,Linear Algebra:B,Machine Learning:A,Statistics:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes",,10,DevOps Engineer
BCA,Artificial Intelligence,7.24,82.0,94.3,"Data Analysis, PyTorch, Python","Deep Learning:A+,Neural Networks:B,NLP:B+,Linear Algebra:A-","Customer Segmentation: Python, Scikit-learn, K-means; Disease Detection: Deep Learning, PyTorch, CNN",,2,Data Scientist
B.Tech,Civil Engineering,8.79,96.2,78.4,"Site Supervision, Project Management, Estimation","Geotechnical Engineering:B,Structural Analysis:A,AutoCAD:A-","Bridge Design: AutoCAD, Structural Analysis",Structural Intern:2 months,3,Structural Engineer
B.Sc,Civil Engineering,7.92,86.8,83.7,"Project Management, Site Supervision, Estimation","AutoCAD:A,STAAD Pro:B,Structural Analysis:A-","E-commerce API: Node.js, Express, MongoDB",,5,Mechanical Engineer
M.Tech,Data Science,7.01,74.9,76.9,"R, Power BI, SQL, Tableau, Python","Machine Learning:B+,Linear Algebra:C,Statistics:A-,Big Data Analytics:C,Data Mining:C","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:1 months; Backend Developer:4 months,7,Software Engineer
B.Tech,Civil Engineering,7.32,91.6,89.4,"Estimation, Site Supervision, Project Management","STAAD Pro:B,Construction Management:B+,AutoCAD:A","Residential Complex Planning: Revit, Cost Estimation; Smart City Drainage: STAAD Pro, Surveying",Structural Intern:6 months; Structural Intern:1 months,2,Site Engineer
B.Tech,Information Technology,8.69,89.2,90.0,"Linux, SQL, Network Administration","Computer Networks:B,Cloud Computing:B+,Cyber Security:C,Web Technologies:C,Database Management Systems:A","Disease Detection: Deep Learning, PyTorch, CNN",Machine Learning Engineer:5 months,9,Data Analyst
